Frame ordinal,Time (s),velocity,acceleration (m/s^2),bar_height,horizontal_displacement,power (kW),force (kN)
310,10.293,1.43,0.38,-0.12,4.65,14.57,10.19
311,10.326,1.43,-0.05,-0.08,3.8,13.99,9.76
312,10.36,1.42,-0.66,-0.03,2.69,13.02,9.15
313,10.393,1.4,-1.63,0.02,1.73,11.44,8.18
314,10.426,1.33,-2.98,0.07,0.69,9.06,6.83
315,10.459,1.2,-4.36,0.11,0.65,6.54,5.45
316,10.493,1.03,-5.53,0.15,2.05,4.41,4.28
317,10.526,0.82,-6.19,0.18,3.43,2.99,3.62
318,10.559,0.6,-5.96,0.2,4.96,2.32,3.85
319,10.593,0.41,-5.03,0.22,6.49,1.97,4.78
320,10.626,0.26,-3.9,0.23,7.76,1.57,5.91
321,10.659,0.15,-2.85,0.24,8.91,1.08,6.96
322,10.693,0.08,-2.11,0.24,10.12,0.61,7.7
323,10.726,0.02,-1.75,0.24,11.4,0.18,8.06
324,10.759,-0.03,-1.51,0.24,12.42,0,8.3
325,10.793,-0.08,-1.01,0.24,13.12,0,8.8
326,10.826,-0.11,-0.22,0.23,13.54,0,9.59
327,10.859,-0.1,0.5,0.23,13.93,0,10.31
328,10.892,-0.07,0.69,0.23,14.29,0,10.5
329,10.926,-0.04,0.33,0.23,14.48,0,10.14
330,10.959,-0.04,-0.04,0.22,14.61,0,9.77
331,10.992,-0.05,0.03,0.22,14.78,0,9.84
332,11.026,-0.04,0.32,0.22,14.94,0,10.13
333,11.059,-0.03,0.36,0.22,15.04,0,10.17
334,11.092,-0.02,0.17,0.22,15.13,0,9.98
335,11.126,-0.02,0.02,0.22,15.26,0,9.83
336,11.159,-0.02,-0.03,0.22,15.3,0,9.78
337,11.192,-0.02,-0.15,0.22,15.24,0,9.66
338,11.226,-0.02,-0.33,0.22,15.07,0,9.48
339,11.259,-0.04,-0.42,0.22,14.98,0,9.39
340,11.292,-0.06,-0.39,0.21,14.88,0,9.42
341,11.325,-0.07,-0.37,0.21,14.86,0,9.44
342,11.359,-0.08,-0.44,0.21,14.72,0,9.37
343,11.392,-0.1,-0.56,0.21,0,0,9.25
344,11.425,-0.11,-0.82,0.2,0.21,0,8.99
345,11.459,-0.14,-1.33,0.2,0.51,0,8.48
346,11.492,-0.2,-1.94,0.19,0.86,0,7.87
347,11.525,-0.28,-2.37,0.19,1.08,0,7.44
348,11.559,-0.37,-2.32,0.18,1.18,0,7.49
349,11.592,-0.45,-1.67,0.16,1.23,0,8.14
350,11.625,-0.48,-0.84,0.15,1.34,0,8.97
351,11.659,-0.49,-0.42,0.13,1.52,0,9.39
352,11.692,-0.5,-0.32,0.11,1.74,0,9.49
353,11.725,-0.51,-0.17,0.1,2.05,0,9.64
354,11.758,-0.52,0.1,0.08,2.49,0,9.91
355,11.792,-0.51,0.31,0.06,2.97,0,10.12
356,11.825,-0.49,0.4,0.05,3.36,0,10.21
357,11.858,-0.48,0.34,0.03,3.64,0,10.15
358,11.892,-0.47,0.13,0.01,3.99,0,9.94
359,11.925,-0.47,-0.07,0,4.45,0,9.74
360,11.958,-0.48,-0.14,-0.02,4.91,0,9.67
361,11.992,-0.48,-0.29,-0.03,5.28,0,9.52
362,12.025,-0.49,-0.58,-0.05,5.66,0,9.23
363,12.058,-0.52,-0.66,-0.07,6.09,0,9.15
364,12.091,-0.54,-0.29,-0.08,6.5,0,9.52
365,12.125,-0.54,0.03,-0.1,6.89,0,9.84
366,12.158,-0.53,-0.25,-0.12,7.17,0,9.56
367,12.191,-0.55,-0.83,-0.14,7.44,0,8.98
368,12.225,-0.59,-0.99,-0.16,7.92,0,8.82
369,12.258,-0.63,-0.61,-0.18,8.43,0,9.2
370,12.291,-0.63,-0.21,-0.2,8.64,0,9.6
371,12.325,-0.63,0,-0.22,8.86,0,9.81
372,12.358,-0.64,0.31,-0.24,9.22,0,10.12
373,12.391,-0.62,0.85,-0.26,9.63,0,10.66
374,12.425,-0.58,1.34,-0.28,9.9,0,11.15
