Time_(s),L_Position_X,R_Position_X,L_Position_Z,R_Position_Z,Reps,Status,Summary
15.33364,0.21545559,0.18172866,0.046869103,0.089962594,6,9,
15.366974,0.2162975,0.18152429,0.033845726,0.08180076,6,9,
15.400308,0.2144858,0.18800727,0.033733908,0.06256328,6,9,
15.433642,0.21578613,0.19160439,0.022653637,0.05103307,6,9,
15.466976,0.2152421,0.19654217,0.005209641,0.04352345,6,8,
15.50031,0.21138458,0.19882649,-0.004919684,0.044463575,6,8,
15.533644,0.2066312,0.2019096,-0.008571304,0.0444079,6,8,
15.566978,0.19864202,0.20591842,-0.003294909,0.037336037,6,8,
15.600312,0.1884575,0.20782319,0.008728239,0.03055053,6,8,
15.633646,0.19266681,0.2115176,-0.005704459,0.019456519,6,8,
15.66698,0.19999363,0.2150595,-0.027100896,0.00525274,6,8,
15.700314,0.2012365,0.21788354,-0.027259422,-0.005986624,6,8,
15.733648,0.20421506,0.21914257,-0.03196649,-0.013761059,6,0,
15.766982,0.20730816,0.21960081,-0.043066498,-0.022990862,6,8,
15.800316,0.20785555,0.22027715,-0.046585836,-0.034642406,6,0,
15.83365,0.20694757,0.22205795,-0.051251058,-0.04878905,6,0,
15.866984,0.20446813,0.22634037,-0.05643224,-0.06922019,6,2,
15.900318,0.20254044,0.23259099,-0.06387489,-0.09292239,6,6,
15.933652,0.20221944,0.2366509,-0.075899586,-0.103196494,6,6,
15.966986,0.20566626,0.23589666,-0.098171204,-0.109854184,6,2,
16.00032,0.20805499,0.2339788,-0.12199848,-0.12370151,6,2,
16.033654,0.2014055,0.2363545,-0.11687584,-0.14032787,6,6,
16.066988,0.2173453,0.24006726,-0.13159263,-0.16290638,6,6,
16.100322,0.2247716,0.24251197,-0.15816806,-0.18015648,6,4,
16.133656,0.227645,0.24256547,-0.17368627,-0.19695832,6,4,
16.16699,0.22759058,0.24405164,-0.1947939,-0.210289,6,0,
16.200324,0.22755808,0.24382776,-0.20271537,-0.22198944,6,0,
16.233658,0.22480354,0.24492869,-0.21140333,-0.23200257,6,6,
16.266992,0.22472836,0.24541473,-0.22137572,-0.23964198,6,2,
16.300326,0.22290863,0.24568142,-0.22747622,-0.24559477,6,2,
16.33366,0.21985538,0.24597034,-0.23203407,-0.2510358,6,2,
16.366994,0.21717708,0.2463376,-0.23634243,-0.25610864,6,2,
16.400328,0.21612175,0.2469957,-0.24017121,-0.2600303,6,2,
16.433662,0.2168156,0.24869436,-0.2433309,-0.26203772,7,2,
16.466996,0.21886067,0.24522187,-0.24549024,-0.26034778,7,2,
